name	maxEnrichment	numberClusters	meanEnrichment	meanPValue	sumEnrichment	sumPValue	meanInd	meanDims	meanPheno	time
clique_big_11_0.1	58.3238161724632_2.22336169150777e-14	907_2680_3587	10.0666101884189_0.96979927369235_3.26999651363018	0.0124970597873092_0.484034107654541_0.364802409183512	9130.41544089596_2599.0620534955_11729.4774943915	11.3348332270894_1297.21140851417_1308.54624174126	295.765159867696_293.921641791045_294.387789238918	2.02315325248071_2.04328358208955_2.03819347644271	0.0890468320378041_0.0255730739113119_0.0416228923168676	303.019
clique_big_11_0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	clique_big_11_0.3
clique_big_14_0.08	133.62984143226_6.58333033784727e-31	298_1085_1383	10.0369296266992_0.995522635465782_2.94370722215237	0.0134519081198263_0.484314886525824_0.382856341648755	2991.00502875636_1080.14205948037_4071.14708823673	4.00866861970824_525.48165188052_529.490320500228	301.872483221477_250.492165898618_261.563268257411	2.0503355704698_2.0331797235023_2.03687635574837	0.0892959216263512_0.0290148113650875_0.0420037996932557	77.123
clique_big_14_0.1	47.761070367758_4.81457907177409e-12	82_306_388	10.601197092169_0.988275338638546_3.01987220407539	0.0117864903144452_0.493393626093624_0.391610674717612	869.298161557857_302.412253623395_1171.71041518125	0.966492205784507_150.978449584649_151.944941790433	313.878048780488_275.97385620915_283.984536082474	2.03658536585366_2.00980392156863_2.01546391752577	0.0854018482920707_0.0259269789230528_0.0384964100783607	52.079
clique_big_14_0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	clique_big_14_0.3
clique_big_6_0.3	96.8535268350275_7.46504490655924e-23	316_502_818	16.709511316298_1.05070607131343_7.09982887988938	0.00845228113932497_0.448102572293172_0.278262117519803	5280.20557595017_527.454447799339_5807.66002374951	2.67092084002669_224.947491291172_227.618412131199	586.512658227848_593.749003984064_590.953545232274	2.09493670886076_2.05179282868526_2.06845965770171	0.0643266115461969_0.0154494661539924_0.0343311017822768	9.325
clique_big_8_0.3	9.84796478830381_0.00170019753687994	3_5_8	7.54950524097993_0.751674215306011_3.30086084993373	0.0127800776754495_0.51272304305821_0.325244431039675	22.6485157229398_3.75837107653005_26.4068867994698	0.0383402330263485_2.56361521529105_2.6019554483174	561.666666666667_558.6_559.75	2_2_2	0.0479168613784385_0.01365271877858_0.0265017722535269	4.427
clique_small_11_0.04	55.2041155608455_1.08641027968238e-13	344_688_1032	12.5358788876421_1.03547384182013_4.86894219042744	0.0110095493323033_0.489790157606842_0.330196621515329	4312.34233734887_712.406003172251_5024.74834052112	3.78728497031235_336.975628433507_340.76291340382	93.2180232558139_65.7383720930233_74.8982558139535	2.20348837209302_2.2906976744186_2.26162790697674	0.195924085666088_0.0782550005560913_0.11747802892609	46.501
clique_small_11_0.08	34.7746289063754_3.70166076162533e-09	71_174_245	10.45685331432_0.974748018692699_3.72262343089489	0.0102564819267708_0.475771819100068_0.340867374449847	742.436585316719_169.60615525253_912.042740569249	0.728210216800726_82.7842965234118_83.5125067402125	53.5070422535211_42.4195402298851_45.6326530612245	2_2_2	0.227985679315332_0.0754930761891341_0.119684810156318	3.068
clique_small_11_0.1	24.1913256169634_8.72242562870169e-07	19_44_63	9.20293153242319_0.764703717708251_3.30956607452704	0.0148646291795746_0.534553990430556_0.377822278307244	174.855699116041_33.6469635791631_208.502662695204	0.282427954411917_23.5203755789445_23.8028035333564	42.3157894736842_47.4318181818182_45.8888888888889	2_2_2	0.228186513732255_0.0604456446133094_0.111034160696801	1.943
clique_small_11_0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	clique_small_11_0.3
clique_small_14_0.04	37.7680749525897_7.96750541724752e-10	141_578_719	10.1060701129796_0.838178016037047_2.6556645051454	0.0133895781390176_0.53994359639814_0.43668335081464	1424.95588593013_484.466893269413_1909.42277919954	1.88793051760148_312.087398718125_313.975329235726	54.1843971631206_36.719723183391_40.144645340751	2.00709219858156_2.00173010380623_2.00278164116829	0.236359769141356_0.085867395356349_0.115379808017943	8.319
clique_small_14_0.08	3.29460901629532_0.0695076541158874	0_20_20	NaN_NaN_0.466408524914656	NaN_NaN_0.65615579614439	0_0_9.32817049829312	0_0_13.1231159228878	NaN_NaN_32.8	NaN_NaN_2	NaN_0.0576577014636885_0.0576577014636885	1.621
clique_small_14_0.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	clique_small_14_0.1
clique_small_14_0.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	clique_small_14_0.3
clique_small_6_0.08	84.8384819729029_3.23761348466541e-20	1667_3122_4789	12.890593901607_0.990611947954398_5.13286918678063	0.00969885011725264_0.487928905106961_0.321462105844517	21488.6200339788_3092.69050151363_24581.3105354925	16.1679831454602_1523.31404174393_1539.48202488939	74.9664067186563_60.9493914157591_65.8285654625183	2.89862027594481_2.95195387572069_2.93338901649614	0.21058902065153_0.0655360499154623_0.11602744732975	81.263
clique_small_6_0.1	86.1960640788492_1.62951662989219e-20	876_1475_2351	13.4949188961323_1.01261616706999_5.66361454676315	0.00945859261292235_0.480764376030536_0.305152352945113	11821.5489530119_1493.60884642824_13315.1577994402	8.28572712891998_709.12745464504_717.41318177396	78.9063926940639_70.8020338983051_73.8217779668226	2.71232876712329_2.7471186440678_2.73415567843471	0.204639903999073_0.0594888450469972_0.113573203890901	18.497
clique_small_6_0.3	1.22670598764169_0.268048602768865	0_1_1	NaN_NaN_1.22670598764169	NaN_NaN_0.268048602768865	0_0_1.22670598764169	0_0_0.268048602768865	NaN_NaN_108	NaN_NaN_2	NaN_0.0491052850603412_0.0491052850603412	0.704
